Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
TWIN WATERFALLS,110 Punggol Walk  #06-24 ,1,93,Strata,708900,-,7623,708,14-JUN-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,HDB,19,82,828765,North East Region,Punggol
THE RAINFOREST,335 Choa Chu Kang Avenue 3  #16-09 ,1,169,Strata,1040300,-,6156,572,14-JUN-2012,Executive Condominium,99 Yrs From 28/06/2011,Uncompleted,New Sale,HDB,23,68,689871,West Region,Choa Chu Kang
THE FLORIDA,78 Hougang Avenue 7  #13-28 ,1,120,Strata,890000,-,7417,689,14-JUN-2012,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,19,53,534260,North East Region,Hougang
1 CANBERRA,1 Canberra Drive  #07-02 ,1,90,Strata,706612,-,7851,729,14-JUN-2012,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768101,North Region,Yishun
THE TAMPINES TRILLIANT,17 Tampines Central 7  #14-14 ,1,94,Strata,862000,-,9170,852,14-JUN-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528772,East Region,Tampines
THE RAINFOREST,333 Choa Chu Kang Avenue 3  #04-08 ,1,117,Strata,895000,-,7650,711,14-JUN-2012,Executive Condominium,99 Yrs From 28/06/2011,Uncompleted,New Sale,HDB,23,68,689870,West Region,Choa Chu Kang
YEW MEI GREEN,56 Choa Chu Kang North 6  #16-27 ,1,133,Strata,950000,-,7143,664,14-JUN-2012,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,Private,23,68,689577,West Region,Choa Chu Kang
THE FLORIDA,76 Hougang Avenue 7  #02-19 ,1,167,Strata,1060000,-,6347,590,14-JUN-2012,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,19,53,538807,North East Region,Hougang
1 CANBERRA,21 Canberra Drive  #08-42 ,1,88,Strata,691350,-,7856,730,14-JUN-2012,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768076,North Region,Yishun
RIVERPARC RESIDENCE,92 Punggol Drive  #14-07 ,1,100,Strata,764000,-,7640,710,14-JUN-2012,Executive Condominium,99 Yrs From 27/12/2010,Uncompleted,New Sale,Private,19,82,828795,North East Region,Punggol
TWIN WATERFALLS,112 Punggol Walk  #10-26 ,1,101,Strata,814420,-,8064,749,14-JUN-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,Private,19,82,828766,North East Region,Punggol
THE TAMPINES TRILLIANT,29 Tampines Central 7  #03-38 ,1,121,Strata,1004000,-,8298,771,14-JUN-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528612,East Region,Tampines
THE TAMPINES TRILLIANT,13 Tampines Central 7  #09-08 ,1,105,Strata,874000,-,8324,773,14-JUN-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528770,East Region,Tampines
THE TAMPINES TRILLIANT,33 Tampines Central 7  #13-45 ,1,105,Strata,911000,-,8676,806,14-JUN-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528614,East Region,Tampines
