Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE RIVERVALE,7 Rivervale Link  #09-46 ,1,121,Strata,624500,-,5161,479,07-JUL-1998,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545125,North East Region,Sengkang
SUMMERDALE,8 Boon Lay Drive  #05-18 ,1,111,Strata,502596,-,4528,421,07-JUL-1998,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,Private,22,64,649928,West Region,Jurong West
SUMMERDALE,10 Boon Lay Drive  #14-28 ,1,211,Strata,836200,-,3963,368,07-JUL-1998,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649929,West Region,Jurong West
SUMMERDALE,6 Boon Lay Drive  #09-13 ,1,130,Strata,620540,-,4773,443,06-JUL-1998,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649927,West Region,Jurong West
THE RIVERVALE,1 Rivervale Link  #14-10 ,1,127,Strata,676300,-,5325,495,06-JUL-1998,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang
SUMMERDALE,6 Boon Lay Drive  #08-13 ,1,130,Strata,616860,-,4745,441,06-JUL-1998,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649927,West Region,Jurong West
THE RIVERVALE,1 Rivervale Link  #13-01 ,1,122,Strata,641700,-,5260,489,06-JUL-1998,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang
THE FLORIDA,70 Hougang Avenue 7  #15-05 ,1,115,Strata,565000,-,4913,456,05-JUL-1998,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,19,53,538804,North East Region,Hougang
THE FLORIDA,78 Hougang Avenue 7  #11-26 ,1,113,Strata,540000,-,4779,444,04-JUL-1998,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,Private,19,53,534260,North East Region,Hougang
THE FLORIDA,76 Hougang Avenue 7  #06-17 ,1,121,Strata,555000,-,4587,426,04-JUL-1998,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,19,53,538807,North East Region,Hougang
YEW MEI GREEN,50 Choa Chu Kang North 6  #13-03 ,1,124,Strata,582800,-,4700,437,04-JUL-1998,Executive Condominium,99 Yrs From 01/12/1997,2000,New Sale,HDB,23,68,689574,West Region,Choa Chu Kang
SUMMERDALE,2 Boon Lay Drive  #04-03 ,1,118,Strata,536912,-,4550,423,03-JUL-1998,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649925,West Region,Jurong West
YEW MEI GREEN,56 Choa Chu Kang North 6  #03-25 ,1,120,Strata,514500,-,4288,398,03-JUL-1998,Executive Condominium,99 Yrs From 01/12/1997,2000,New Sale,HDB,23,68,689577,West Region,Choa Chu Kang
THE FLORIDA,70 Hougang Avenue 7  #01-03 ,1,146,Strata,614000,-,4205,391,03-JUL-1998,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,19,53,538804,North East Region,Hougang
SUMMERDALE,6 Boon Lay Drive  #06-15 ,1,111,Strata,503516,-,4536,421,03-JUL-1998,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,Private,22,64,649927,West Region,Jurong West
YEW MEI GREEN,50 Choa Chu Kang North 6  #03-06 ,1,120,Strata,534500,-,4454,414,03-JUL-1998,Executive Condominium,99 Yrs From 01/12/1997,2000,New Sale,HDB,23,68,689574,West Region,Choa Chu Kang
SUMMERDALE,10 Boon Lay Drive  #02-27 ,1,118,Strata,525412,-,4453,414,03-JUL-1998,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649929,West Region,Jurong West
SUMMERDALE,8 Boon Lay Drive  #03-23 ,1,111,Strata,496156,-,4470,415,02-JUL-1998,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649928,West Region,Jurong West
