ProjectName,Address,Areasqm,TransactedPrice,NettPrice,UnitPricepsm,UnitPricepsf,SaleDate,Tenure,CompletionDate,TypeofSale,PurchaserAddressIndicator,PostalDistrict,PostalSector,PostalCode,PlanningRegion,PlanningArea,SaleYear,PurchaseYear,PurchaseYearCPI,SaleYearCPI,PurchasePriceCurrentValue
LUSH ACRES,1 Fernvale Close  #05-03,86,868000,-,10093,938,29-JUL-2019,99 Yrs From 13/02/2013,2016,Resale,HDB,28,79,797485,North East Region,Sengkang,2019,2013,98.969,99.938,733274.8413139468
THE RIVERVALE,1 Rivervale Link  #02-01,122,900000,-,7377,685,27-JAN-2012,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2012,1999,73.814,96.689,766488.3131926192
THE RIVERVALE,1 Rivervale Link  #03-01,122,630000,-,5164,480,23-JUL-2009,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2009,1999,73.814,85.436,686136.2451567454
THE RIVERVALE,1 Rivervale Link  #03-02,122,1050000,-,8607,800,18-MAY-2012,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2012,1998,73.797,96.689,761751.6240497581
THE RIVERVALE,1 Rivervale Link  #03-03,121,424000,-,3504,326,22-DEC-2006,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2006,1999,73.814,78.008,584238.8520334896
THE RIVERVALE,1 Rivervale Link  #03-10,127,518000,-,4079,379,12-JUN-2007,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2007,1998,73.797,79.65,673274.9298751982
THE RIVERVALE,1 Rivervale Link  #03-13,121,860000,-,7107,660,22-DEC-2017,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2017,2004,76.903,99.502,498137.52389373624
THE RIVERVALE,1 Rivervale Link  #04-04,122,795000,-,6516,605,19-NOV-2010,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2010,2001,75.568,87.848,669473.6491636671
THE RIVERVALE,1 Rivervale Link  #04-08,116,435000,-,3750,348,26-MAR-2006,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2006,1998,73.797,78.008,598402.7643400138
THE RIVERVALE,1 Rivervale Link  #04-09,116,850000,-,7328,681,11-DEC-2017,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2017,2007,79.65,99.502,787021.4689265536
THE RIVERVALE,1 Rivervale Link  #04-14,121,865000,-,7149,664,26-MAY-2016,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2016,2009,85.436,98.932,690147.8533639215
THE RIVERVALE,1 Rivervale Link  #05-05,120,450000,-,3750,348,24-OCT-2005,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2005,1999,73.814,77.263,567593.2116942586
THE RIVERVALE,1 Rivervale Link  #05-11,117,995000,-,8504,790,11-APR-2013,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2013,1999,73.814,98.969,737836.1923212399
THE RIVERVALE,1 Rivervale Link  #05-13,121,748000,-,6182,574,16-APR-2010,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2010,1998,73.797,87.848,713883.2960689459
THE RIVERVALE,1 Rivervale Link  #05-15,122,450000,-,3689,343,23-MAR-2007,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2007,1998,73.797,79.65,643270.051628115
THE RIVERVALE,1 Rivervale Link  #05-16,121,495000,-,4091,380,16-NOV-2005,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2005,1998,73.797,77.263,630797.4240145263
THE RIVERVALE,1 Rivervale Link  #06-14,121,865000,-,7149,664,06-DEC-2016,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2016,1999,73.814,98.932,722533.0427290217
THE RIVERVALE,1 Rivervale Link  #07-02,122,600000,-,4918,457,23-APR-2009,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2009,1999,73.814,85.436,660961.7118703771
THE RIVERVALE,1 Rivervale Link  #07-03,121,872000,-,7207,670,31-OCT-2017,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2017,1999,73.814,99.502,762083.8957379359
THE RIVERVALE,1 Rivervale Link  #08-01,122,850000,-,6967,647,21-OCT-2010,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2010,1998,73.797,87.848,737096.1095979512
