ProjectName,Address,Areasqm,TransactedPrice,NettPrice,UnitPricepsm,UnitPricepsf,SaleDate,Tenure,CompletionDate,TypeofSale,PurchaserAddressIndicator,PostalDistrict,PostalSector,PostalCode,PlanningRegion,PlanningArea,SaleYear,PurchaseYear,PurchaseYearCPI,SaleYearCPI,PurchasePriceCurrentValue
LUSH ACRES,1 Fernvale Close  #05-03,86,868000,-,10093,938,29-Jul-19,99 Yrs From 13/02/2013,2016,Resale,HDB,28,79,797485,North East Region,Sengkang,2019,2013,98.969,99.938,733274.8413
THE RIVERVALE,1 Rivervale Link  #01-01,134,563100,-,4202,390,15-Jun-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2012,96.689,73.814,786319.2297
THE RIVERVALE,1 Rivervale Link  #01-16,150,1130000,-,7533,700,11-Jul-13,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2013,2010,87.848,98.969,957604.6125
THE RIVERVALE,1 Rivervale Link  #01-16,150,574376,-,3829,356,14-Sep-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2013,98.969,73.814,842787.3374
THE RIVERVALE,1 Rivervale Link  #02-01,122,900000,-,7377,685,27-Jan-12,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2012,1999,73.814,96.689,766488.3132
THE RIVERVALE,1 Rivervale Link  #02-08,118,559000,-,4737,440,Aug-99,99 Yrs From 18/12/1997,Uncompleted,New Sale,Private,19,54,545118,North East Region,Sengkang,1999,2008,84.929,73.814,486710.5465
THE RIVERVALE,1 Rivervale Link  #02-16,135,538792,-,3991,371,Aug-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2009,85.436,73.814,630696.8959
THE RIVERVALE,1 Rivervale Link  #03-01,122,630000,-,5164,480,23-Jul-09,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2009,1999,73.814,85.436,686136.2452
THE RIVERVALE,1 Rivervale Link  #03-02,122,1050000,-,8607,800,18-May-12,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2012,1998,73.797,96.689,761751.624
THE RIVERVALE,1 Rivervale Link  #03-02,122,635000,-,5205,484,30-Dec-07,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2007,2012,96.689,79.65,864963.9566
