Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE EDEN AT TAMPINES,37 Tampines Street 34  #03-42 ,1,126,Strata,560150,-,4446,413,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529240,East Region,Tampines
THE EDEN AT TAMPINES,25 Tampines Street 34  #02-16 ,1,116,Strata,478000,-,4121,383,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529234,East Region,Tampines
THE EDEN AT TAMPINES,27 Tampines Street 34  #07-22 ,1,115,Strata,521815,-,4538,422,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529235,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #08-02 ,1,80,Strata,394570,-,4932,458,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529232,East Region,Tampines
THE EDEN AT TAMPINES,23 Tampines Street 34  #09-12 ,1,126,Strata,583780,-,4633,430,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529233,East Region,Tampines
THE EDEN AT TAMPINES,29 Tampines Street 34  #04-27 ,1,116,Strata,494785,-,4265,396,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529236,East Region,Tampines
THE EDEN AT TAMPINES,37 Tampines Street 34  #05-41 ,1,114,Strata,485605,-,4260,396,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,Private,18,52,529240,East Region,Tampines
THE EDEN AT TAMPINES,23 Tampines Street 34  #01-14 ,1,138,Strata,515270,-,3734,347,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529233,East Region,Tampines
THE EDEN AT TAMPINES,29 Tampines Street 34  #02-28 ,1,116,Strata,488155,-,4208,391,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529236,East Region,Tampines
THE EDEN AT TAMPINES,23 Tampines Street 34  #06-14 ,1,115,Strata,502350,-,4368,406,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529233,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #09-04 ,1,110,Strata,493850,-,4490,417,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,Private,18,52,529232,East Region,Tampines
THE EDEN AT TAMPINES,27 Tampines Street 34  #01-24 ,1,135,Strata,529040,-,3919,364,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529235,East Region,Tampines
THE EDEN AT TAMPINES,31 Tampines Street 34  #09-33 ,1,115,Strata,529000,-,4600,427,02-JUL-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,18,52,529237,East Region,Tampines
